inID,SQLDateTime,DateTime,TradeNum,OrderNum,UserID,TerminalID,CTCLID,AlgoID,AccountCode,MemberCode,ScripCode,Exchange,OptType,ExpiryDate,StrikePrice,ScripDescription,BuySellFlag,TradeQty,TradePrice,MainTradeID,SecurityType,ReferenceText,PendingQty,CustomID,Sender
27207,20230711-09:00:12,20230711-09:00:12,T45825365,O454545455,CMPG01,,4545,,01BS012,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Buy,8,220,1,FUTCOM,,0,0,s1
27208,20230711-09:00:18,20230711-09:00:17,T45825366,O454545456,CMPG01,,4545,,01BS012,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Buy,8,220,2,FUTCOM,,0,0,s1
27209,20230711-09:00:20,20230711-09:00:20,T45825367,O454545457,CMPG01,,4545,,01BS012,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Buy,19,220,3,FUTCOM,,0,0,s1
27210,20230711-09:05:11,20230711-09:05:10:1689,T45825368,O454545458,CMPG01,,FRD_AB,,01BS012,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,2,121.24,4,FUTURE,,0,0,s1
27211,20230711-09:05:12,20230711-09:05:11,T45825369,O454545459,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,4,71431,5,FUTCOM,SL NEXT,0,17,s1
27212,20230711-09:05:12,20230711-09:05:11,T45825370,O454545460,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,24,71431,6,FUTCOM,SL NEXT,0,17,s1
27215,20230711-09:05:12,20230711-09:05:12,T45825371,O454545461,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,25,71431,9,FUTCOM,SL NEXT,0,22,s1
27213,20230711-09:05:12,20230711-09:05:12:1689,T45825372,O454545462,CMPG01,,FRD_AB,,01BS012,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,22,121.24,7,FUTURE,SL NEXT,0,21,s1
27214,20230711-09:05:12,20230711-09:05:12:1689,T45825373,O454545463,CMPG01,,FRD_AB,,01BS012,FRD25_D,8.48379E+018,CME:NEWGEN,,27-Sep-23,0,SI,Buy,13,23405,8,FUTURE,SL NEXT,0,20,s1
27216,20230711-09:05:20,20230711-09:05:20,T45825374,O454545464,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,15,71431,10,FUTCOM,SL NEXT,0,22,s1
27218,20230711-09:05:20,20230711-09:05:20:1689,T45825375,O454545465,CMPG01,,FRD_AB,,01BS012,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,9,121.24,12,FUTURE,SL NEXT,0,24,s1
27217,20230711-09:05:20,20230711-09:05:20:1689,T45825376,O454545466,CMPG01,,FRD_AB,,01BS012,FRD25_D,8.48379E+018,CME:NEWGEN,,27-Sep-23,0,SI,Buy,10,23405,11,FUTURE,SL NEXT,0,23,s1
27219,20230711-09:05:21,20230711-09:05:21,T45825377,O454545467,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,22,71431,13,FUTCOM,SL NEXT,0,25,s1
27220,20230711-09:05:29,20230711-09:05:29,T45825378,O454545468,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,16,71430,14,FUTCOM,SL NEXT,0,25,s1
27221,20230711-09:05:29,20230711-09:05:29:1689,T45825379,O454545469,CMPG01,,FRD_AB,,01BS012,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,9,121.24,15,FUTURE,SL NEXT,0,27,s1
27222,20230711-09:05:30,20230711-09:05:30:1689,T45825380,O454545470,CMPG01,,FRD_AB,,01BS012,FRD25_D,8.48379E+018,CME:NEWGEN,,27-Sep-23,0,SI,Buy,1,23405,16,FUTURE,SL NEXT,0,26,s1
27223,20230711-09:05:33,20230711-09:05:33,T45825381,O454545471,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,16,71431,17,FUTCOM,SL NEXT,0,28,s1
27224,20230711-09:05:37,20230711-09:05:37,T45825382,O454545472,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,2,71431,18,FUTCOM,SL NEXT,0,28,s1
27226,20230711-09:05:40,20230711-09:05:40,T45825383,O454545473,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,5,71430,20,FUTCOM,SL NEXT,0,28,s1
27225,20230711-09:05:40,20230711-09:05:40:1689,T45825384,O454545474,CMPG01,,FRD_AB,,01BS012,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,25,121.25,19,FUTURE,,0,0,s1
27228,20230711-09:05:40,20230711-09:05:40:1689,T45825385,O454545475,CMPG01,,FRD_AB,,01BS012,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,18,121.25,22,FUTURE,SL NEXT,0,31,s1
27227,20230711-09:05:40,20230711-09:05:40:1689,T45825386,O454545476,CMPG01,,FRD_AB,,01BS012,FRD25_D,8.48379E+018,CME:NEWGEN,,27-Sep-23,0,SI,Buy,15,23405,21,FUTURE,SL NEXT,0,30,s1
27229,20230711-09:05:42,20230711-09:05:42,T45825387,O454545477,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,4,71430,23,FUTCOM,SL NEXT,0,32,s1
27230,20230711-09:05:42,20230711-09:05:42,T45825388,O454545478,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,12,71430,24,FUTCOM,SL NEXT,0,32,s1
27231,20230711-09:05:42,20230711-09:05:42,T45825389,O454545479,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,6,71425,25,FUTCOM,SL NEXT,0,32,s1
27232,20230711-09:05:56,20230711-09:05:56,T45825390,O454545480,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,12,71420,26,FUTCOM,SL NEXT,0,32,s1
27234,20230711-09:05:56,20230711-09:05:56:1689,T45825391,O454545481,CMPG01,,FRD_AB,,01BS012,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,3,121.25,28,FUTURE,SL NEXT,0,35,s1
27233,20230711-09:05:56,20230711-09:05:56:1689,T45825392,O454545482,CMPG01,,FRD_AB,,01BS012,FRD25_D,8.48379E+018,CME:NEWGEN,,27-Sep-23,0,SI,Buy,24,23400,27,FUTURE,SL NEXT,0,34,s1
27235,20230711-09:05:57,20230711-09:05:57,T45825393,O454545483,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,5,71424,29,FUTCOM,SL NEXT,0,36,s1
27236,20230711-09:05:57,20230711-09:05:57,210001455,O454545484,CMPG01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,20,71420,30,FUTCOM,SL NEXT,0,36,s1
27237,20230711-09:05:57,20230711-09:05:57,210001486,O454545485,CMMF01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,21,71420,31,FUTCOM,SL NEXT,0,36,s1
27238,20230711-09:06:08,20230711-09:06:08,210001518,O454545486,CMMF01,,4545,,01BS012,6545,247116,MCX,XX,5-Sep-23,0,SILVER,Sell,12,71415,32,FUTCOM,SL NEXT,0,36,s1
